Reference area,Frequency of observation,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE
Australia,Annual,Employment,Persons,1995,8297.125431
Australia,Annual,Employment,Persons,1996,8330.18644
Australia,Annual,Employment,Persons,1997,8482.540018
Australia,Annual,Employment,Persons,1998,8606.520123
Australia,Annual,Employment,Persons,1999,8864.999781
Australia,Annual,Employment,Persons,2000,9004.629114
Australia,Annual,Employment,Persons,2001,9134.673081
Australia,Annual,Employment,Persons,2002,9380.077847
Australia,Annual,Employment,Persons,2003,9533.473324
Australia,Annual,Employment,Persons,2004,9850.755076
Australia,Annual,Employment,Persons,2005,10082.05588
Australia,Annual,Employment,Persons,2006,10412.00734
Australia,Annual,Employment,Persons,2007,10690.30636
Australia,Annual,Employment,Persons,2008,10786.79871
Australia,Annual,Employment,Persons,2009,10957.42661
Australia,Annual,Employment,Persons,2010,11196.18107
Australia,Annual,Employment,Persons,2011,11393.15298
Australia,Annual,Employment,Persons,2012,11491.66477
Australia,Annual,Employment,Persons,2013,11553.34876
Australia,Annual,Employment,Persons,2014,11781.44093
Australia,Annual,Employment,Persons,2015,11999.94942
Australia,Annual,Employment,Persons,2016,12256.63391
Australia,Annual,Employment,Persons,2017,12571.67845
Australia,Annual,Employment,Persons,2018,12861.67623
Australia,Annual,Employment,Persons,2019,12704.05761
Australia,Annual,Employment,Persons,2020,12932.40401
Australia,Annual,Employment,Persons,2021,13535.16439
Australia,Annual,Employment,Persons,2022,14062.96645
Australia,Annual,Employment,Persons,2023,14397.02374
France,Annual,Employment,Persons,1995,23712
France,Annual,Employment,Persons,1996,23852
France,Annual,Employment,Persons,1997,24040
France,Annual,Employment,Persons,1998,24463
France,Annual,Employment,Persons,1999,25058
France,Annual,Employment,Persons,2000,25690
France,Annual,Employment,Persons,2001,26059
France,Annual,Employment,Persons,2002,26188
France,Annual,Employment,Persons,2003,26197
France,Annual,Employment,Persons,2004,26232
France,Annual,Employment,Persons,2005,26413
France,Annual,Employment,Persons,2006,26702
France,Annual,Employment,Persons,2007,27089
France,Annual,Employment,Persons,2008,27228
France,Annual,Employment,Persons,2009,26922
France,Annual,Employment,Persons,2010,26948
France,Annual,Employment,Persons,2011,27156
France,Annual,Employment,Persons,2012,27253
France,Annual,Employment,Persons,2013,27305
France,Annual,Employment,Persons,2014,27452
France,Annual,Employment,Persons,2015,27521
France,Annual,Employment,Persons,2016,27720
France,Annual,Employment,Persons,2017,28047
France,Annual,Employment,Persons,2018,28328
France,Annual,Employment,Persons,2019,28662
France,Annual,Employment,Persons,2020,28645
France,Annual,Employment,Persons,2021,29395
France,Annual,Employment,Persons,2022,30103
France,Annual,Employment,Persons,2023,30424
France,Annual,Employment,Persons,2024,30598
Germany,Annual,Employment,Persons,1995,38046
Germany,Annual,Employment,Persons,1996,38062
Germany,Annual,Employment,Persons,1997,38045
Germany,Annual,Employment,Persons,1998,38500
Germany,Annual,Employment,Persons,1999,39125
Germany,Annual,Employment,Persons,2000,39976
Germany,Annual,Employment,Persons,2001,39865
Germany,Annual,Employment,Persons,2002,39674
Germany,Annual,Employment,Persons,2003,39246
Germany,Annual,Employment,Persons,2004,39370
Germany,Annual,Employment,Persons,2005,39322
Germany,Annual,Employment,Persons,2006,39608
Germany,Annual,Employment,Persons,2007,40281
Germany,Annual,Employment,Persons,2008,40851
Germany,Annual,Employment,Persons,2009,40903
Germany,Annual,Employment,Persons,2010,41099
Germany,Annual,Employment,Persons,2011,41570
Germany,Annual,Employment,Persons,2012,42065
Germany,Annual,Employment,Persons,2013,42378
Germany,Annual,Employment,Persons,2014,42756
Germany,Annual,Employment,Persons,2015,43137
Germany,Annual,Employment,Persons,2016,43686
Germany,Annual,Employment,Persons,2017,44290
Germany,Annual,Employment,Persons,2018,44878
Germany,Annual,Employment,Persons,2019,45291
Germany,Annual,Employment,Persons,2020,44966
Germany,Annual,Employment,Persons,2021,45053
Germany,Annual,Employment,Persons,2022,45675
Germany,Annual,Employment,Persons,2023,46011
Germany,Annual,Employment,Persons,2024,46082
Korea,Annual,Employment,Persons,2004,22681.9
Korea,Annual,Employment,Persons,2005,22831
Korea,Annual,Employment,Persons,2006,23188.1
Korea,Annual,Employment,Persons,2007,23561.1
Korea,Annual,Employment,Persons,2008,23774.8
Korea,Annual,Employment,Persons,2009,23687.6
Korea,Annual,Employment,Persons,2010,24032.8
Korea,Annual,Employment,Persons,2011,24526.5
Korea,Annual,Employment,Persons,2012,24954.8
Korea,Annual,Employment,Persons,2013,25299.4
Korea,Annual,Employment,Persons,2014,25897.2
Korea,Annual,Employment,Persons,2015,26177.7
Korea,Annual,Employment,Persons,2016,26409.1
Korea,Annual,Employment,Persons,2017,26724.8
Korea,Annual,Employment,Persons,2018,26822.1
Korea,Annual,Employment,Persons,2019,27122.7
Korea,Annual,Employment,Persons,2020,26904.3
Korea,Annual,Employment,Persons,2021,27272.8
Korea,Annual,Employment,Persons,2022,28089.1
Korea,Annual,Employment,Persons,2023,28416.3
Sweden,Annual,Employment,Persons,1995,4177.1
Sweden,Annual,Employment,Persons,1996,4143.1
Sweden,Annual,Employment,Persons,1997,4090
Sweden,Annual,Employment,Persons,1998,4158.4
Sweden,Annual,Employment,Persons,1999,4245
Sweden,Annual,Employment,Persons,2000,4347.5
Sweden,Annual,Employment,Persons,2001,4437.5
Sweden,Annual,Employment,Persons,2002,4442.6
Sweden,Annual,Employment,Persons,2003,4421.6
Sweden,Annual,Employment,Persons,2004,4402.6
Sweden,Annual,Employment,Persons,2005,4400.8
Sweden,Annual,Employment,Persons,2006,4484.7
Sweden,Annual,Employment,Persons,2007,4588
Sweden,Annual,Employment,Persons,2008,4611.1
Sweden,Annual,Employment,Persons,2009,4517.4
Sweden,Annual,Employment,Persons,2010,4547.6
Sweden,Annual,Employment,Persons,2011,4652.2
Sweden,Annual,Employment,Persons,2012,4688.2
Sweden,Annual,Employment,Persons,2013,4736
Sweden,Annual,Employment,Persons,2014,4805.3
Sweden,Annual,Employment,Persons,2015,4877.7
Sweden,Annual,Employment,Persons,2016,4975.1
Sweden,Annual,Employment,Persons,2017,5099.9
Sweden,Annual,Employment,Persons,2018,5186.1
Sweden,Annual,Employment,Persons,2019,5219.4
Sweden,Annual,Employment,Persons,2020,5152.7
Sweden,Annual,Employment,Persons,2021,5217.9
Sweden,Annual,Employment,Persons,2022,5400.1
Sweden,Annual,Employment,Persons,2023,5463.2
Sweden,Annual,Employment,Persons,2024,5445.8
United Kingdom,Annual,Employment,Persons,1995,25814.34
United Kingdom,Annual,Employment,Persons,1996,26056.249
United Kingdom,Annual,Employment,Persons,1997,26522.786
United Kingdom,Annual,Employment,Persons,1998,26793.53
United Kingdom,Annual,Employment,Persons,1999,27167.078
United Kingdom,Annual,Employment,Persons,2000,27483.294
United Kingdom,Annual,Employment,Persons,2001,27711.393
United Kingdom,Annual,Employment,Persons,2002,27943.903
United Kingdom,Annual,Employment,Persons,2003,28223.073
United Kingdom,Annual,Employment,Persons,2004,28533.454
United Kingdom,Annual,Employment,Persons,2005,28853.15
United Kingdom,Annual,Employment,Persons,2006,29140.451
United Kingdom,Annual,Employment,Persons,2007,29378.747
United Kingdom,Annual,Employment,Persons,2008,29627.564
United Kingdom,Annual,Employment,Persons,2009,29154.264
United Kingdom,Annual,Employment,Persons,2010,29226.867
United Kingdom,Annual,Employment,Persons,2011,29374.489
United Kingdom,Annual,Employment,Persons,2012,29694.324
United Kingdom,Annual,Employment,Persons,2013,30041.77
United Kingdom,Annual,Employment,Persons,2014,30752.516
United Kingdom,Annual,Employment,Persons,2015,31285.035
United Kingdom,Annual,Employment,Persons,2016,31745.325
United Kingdom,Annual,Employment,Persons,2017,32060.17
United Kingdom,Annual,Employment,Persons,2018,32442.967
United Kingdom,Annual,Employment,Persons,2019,32918.729
United Kingdom,Annual,Employment,Persons,2020,32554.923
United Kingdom,Annual,Employment,Persons,2021,32551.369
United Kingdom,Annual,Employment,Persons,2022,32955.659
United Kingdom,Annual,Employment,Persons,2023,33348.734