Country,Year,Employment growth %
Australia,1996,0.398463411
Australia,1997,1.828933591
Australia,1998,1.461591749
Australia,1999,3.003300455
Australia,2000,1.575063017
Australia,2001,1.444190153
Australia,2002,2.686519417
Australia,2003,1.635332665
Australia,2004,3.328081395
Australia,2005,2.348051466
Australia,2006,3.272660587
Australia,2007,2.672866075
Australia,2008,0.902615461
Australia,2009,1.581821442
Australia,2010,2.178928197
Australia,2011,1.759277649
Australia,2012,0.864657819
Australia,2013,0.536771636
Australia,2014,1.974251558
Australia,2015,1.854683907
Australia,2016,2.139046441
Australia,2017,2.570400179
Australia,2018,2.306754656
Australia,2019,-1.225490513
Australia,2020,1.797428903
Australia,2021,4.660853285
Australia,2022,3.899487656
Australia,2023,2.375439702
Austria,1996,0.389830348
Austria,1997,0.731012541
Austria,1998,1.010813806
Austria,1999,1.515729552
Austria,2000,0.950891442
Austria,2001,0.717801455
Austria,2002,-0.0919279
Austria,2003,0.654857913
Austria,2004,0.629249121
Austria,2005,1.20360077
Austria,2006,1.748407095
Austria,2007,1.825561
Austria,2008,1.898481534
Austria,2009,-0.536918036
Austria,2010,0.755551207
Austria,2011,1.554989891
Austria,2012,1.038238538
Austria,2013,0.449352273
Austria,2014,0.99849434
Austria,2015,0.603248249
Austria,2016,1.309211405
Austria,2017,1.654882383
Austria,2018,1.776512453
Austria,2019,1.138565057
Austria,2020,-1.639345343
Austria,2021,2.017662817
Austria,2022,2.588568839
Austria,2023,0.837468903
Austria,2024,0.045797347
Belgium,1996,0.263647643
Belgium,1997,0.68058778
Belgium,1998,1.753981666
Belgium,1999,1.378997962
Belgium,2000,2.010574131
Belgium,2001,1.369929679
Belgium,2002,0.228036486
Belgium,2003,-0.093401988
Belgium,2004,0.987630645
Belgium,2005,1.433725788
Belgium,2006,1.127960311
Belgium,2007,1.666126718
Belgium,2008,1.779942641
Belgium,2009,-0.131943823
Belgium,2010,0.696419374
Belgium,2011,1.231987191
Belgium,2012,0.241641404
Belgium,2013,-0.230101683
Belgium,2014,0.362422299
Belgium,2015,0.838221133
Belgium,2016,1.252306023
Belgium,2017,1.491897453
Belgium,2018,1.469967052
Belgium,2019,1.579801848
Belgium,2020,-0.106550827
Belgium,2021,1.686119259
Belgium,2022,1.926451899
Belgium,2023,0.783723876
Belgium,2024,0.272955777
Canada,1996,1.031830909
Canada,1997,1.957381398
Canada,1998,2.251117472
Canada,1999,2.627557899
Canada,2000,2.282843219
Canada,2001,0.92522866
Canada,2002,2.46233851
Canada,2003,2.172408813
Canada,2004,1.643014268
Canada,2005,1.527081798
Canada,2006,1.501221061
Canada,2007,2.001272725
Canada,2008,1.431183026
Canada,2009,-1.450844365
Canada,2010,1.694796109
Canada,2011,1.598642279
Canada,2012,1.194363638
Canada,2013,1.304521872
Canada,2014,0.260610325
Canada,2015,0.811594476
Canada,2016,0.840721458
Canada,2017,2.18608013
Canada,2018,1.821424858
Canada,2019,2.138619316
Canada,2020,-9.983977153
Canada,2021,8.474563238
Canada,2022,4.669871001
Canada,2023,3.01354641
Chile,2014,1.411698445
Chile,2015,1.7162507
Chile,2016,1.168158071
Chile,2017,2.410791989
Chile,2018,2.227709839
Chile,2019,2.189382077
Chile,2020,-12.08483228
Chile,2021,5.009705588
Chile,2022,6.544916865
Chile,2023,2.439249296
Colombia,2016,0.340364334
Colombia,2017,0.941187712
Colombia,2018,0.681560015
Colombia,2019,0.178638586
Colombia,2020,-10.61004223
Colombia,2021,7.050238858
Colombia,2022,8.042369557
Colombia,2023,3.431372549
Costa Rica,1996,-0.817925423
Costa Rica,1997,7.96432192
Costa Rica,1998,6.382921922
Costa Rica,1999,1.264362459
Costa Rica,2000,2.399440923
Costa Rica,2001,5.554422331
Costa Rica,2002,1.516822945
Costa Rica,2003,3.153963248
Costa Rica,2004,1.047305793
Costa Rica,2005,6.605873759
Costa Rica,2006,2.914648211
Costa Rica,2007,5.559251491
Costa Rica,2008,1.314507262
Costa Rica,2009,-1.818997219
Costa Rica,2010,-1.257755848
Costa Rica,2011,-2.146562979
Costa Rica,2012,8.608253472
Costa Rica,2013,1.285088366
Costa Rica,2014,1.96897788
Costa Rica,2015,-0.57238538
Costa Rica,2016,-2.675737391
Costa Rica,2017,3.021587673
Costa Rica,2018,3.464798694
Costa Rica,2019,2.493971896
Costa Rica,2020,-10.90896129
Costa Rica,2021,5.663467476
Costa Rica,2022,5.784149751
Costa Rica,2023,-2.418640008
Czechia,1996,0.518025213
Czechia,1997,-0.701599048
Czechia,1998,-1.73467936
Czechia,1999,-2.154411327
Czechia,2000,-0.823743975
Czechia,2001,-0.26651762
Czechia,2002,0.626940878
Czechia,2003,-0.793885466
Czechia,2004,-0.189580199
Czechia,2005,1.941524401
Czechia,2006,1.347589911
Czechia,2007,2.087923035
Czechia,2008,2.178144223
Czechia,2009,-1.805871894
Czechia,2010,-1.034402458
Czechia,2011,-0.50110327
Czechia,2012,0.523917511
Czechia,2013,0.368940952
Czechia,2014,0.532704449
Czechia,2015,1.393523354
Czechia,2016,1.032618924
Czechia,2017,1.330889563
Czechia,2018,1.151578513
Czechia,2019,-0.144892894
Czechia,2020,-2.319632034
Czechia,2021,0.994904762
Czechia,2022,1.01988165
Czechia,2023,1.028204704
Czechia,2024,0.302603028
Denmark,1996,0.993523016
Denmark,1997,1.381593188
Denmark,1998,1.409953205
Denmark,1999,0.834991628
Denmark,2000,0.745218335
Denmark,2001,0.991743096
Denmark,2002,0.062067089
Denmark,2003,-0.917570577
Denmark,2004,-0.525618844
Denmark,2005,1.421567967
Denmark,2006,2.255491324
Denmark,2007,2.335715794
Denmark,2008,1.251815507
Denmark,2009,-3.138153352
Denmark,2010,-2.326973653
Denmark,2011,-0.115919712
Denmark,2012,-0.698837448
Denmark,2013,0.039752034
Denmark,2014,0.648278662
Denmark,2015,1.469743737
Denmark,2016,1.636135331
Denmark,2017,1.504625521
Denmark,2018,1.548528444
Denmark,2019,1.430917971
Denmark,2020,-1.109784814
Denmark,2021,2.301667606
Denmark,2022,3.984436822
Denmark,2023,1.330624326
Denmark,2024,0.831289797
Estonia,1996,-2.351641414
Estonia,1997,0.048488767
Estonia,1998,-1.873990307
Estonia,1999,-4.461639776
Estonia,2000,0.861623298
Estonia,2001,0.563813429
Estonia,2002,-0.016989467
Estonia,2003,2.141036534
Estonia,2004,-0.399268009
Estonia,2005,2.271588442
Estonia,2006,4.883227176
Estonia,2007,0.186857677
Estonia,2008,-0.202051601
Estonia,2009,-10.20090329
Estonia,2010,-4.94276795
Estonia,2011,6.549899653
Estonia,2012,1.626712329
Estonia,2013,1.246840775
Estonia,2014,0.765518389
Estonia,2015,2.873658134
Estonia,2016,0.288970942
Estonia,2017,2.68929086
Estonia,2018,0.913623694
Estonia,2019,1.279492019
Estonia,2020,-2.711520839
Estonia,2021,0.138746402
Estonia,2022,4.59215367
Estonia,2023,3.208094778
Estonia,2024,0.196579748
Finland,1996,1.690387138
Finland,1997,3.396226415
Finland,1998,1.995749792
Finland,1999,2.060875079
Finland,2000,2.063639995
Finland,2001,1.552308896
Finland,2002,1.237422393
Finland,2003,0.236846557
Finland,2004,0.52742616
Finland,2005,1.527806925
Finland,2006,1.881020298
Finland,2007,2.211491641
Finland,2008,2.231132637
Finland,2009,-2.535823852
Finland,2010,-0.74906367
Finland,2011,1.513448414
Finland,2012,0.612963183
Finland,2013,-0.801823756
Finland,2014,-0.546794516
Finland,2015,0.3187251
Finland,2016,0.555996823
Finland,2017,0.604265403
Finland,2018,2.602755859
Finland,2019,1.473063973
Finland,2020,-2.341540666
Finland,2021,2.305019305
Finland,2022,3.513605314
Finland,2023,0.860434592
Finland,2024,-0.585598612
France,1996,0.590418354
France,1997,0.788193862
France,1998,1.759567388
France,1999,2.432244614
France,2000,2.522148615
France,2001,1.436356559
France,2002,0.495030508
France,2003,0.034366886
France,2004,0.133603084
France,2005,0.68999695
France,2006,1.09415818
France,2007,1.449329638
France,2008,0.513123408
France,2009,-1.123843103
France,2010,0.096575292
France,2011,0.77185691
France,2012,0.357195463
France,2013,0.190804682
France,2014,0.538362937
France,2015,0.251347807
France,2016,0.72308419
France,2017,1.17965368
France,2018,1.001889685
France,2019,1.179045467
France,2020,-0.059311981
France,2021,2.618257986
France,2022,2.408572887
France,2023,1.066338903
France,2024,0.571916908
Germany,1996,0.042054355
Germany,1997,-0.044663969
Germany,1998,1.195952162
Germany,1999,1.623376623
Germany,2000,2.175079872
Germany,2001,-0.2776666
Germany,2002,-0.47911702
Germany,2003,-1.078792156
Germany,2004,0.315955766
Germany,2005,-0.121920244
Germany,2006,0.727328213
Germany,2007,1.699151687
Germany,2008,1.415059209
Germany,2009,0.127291866
Germany,2010,0.479182456
Germany,2011,1.146013285
Germany,2012,1.190762569
Germany,2013,0.744086533
Germany,2014,0.89197225
Germany,2015,0.891103003
Germany,2016,1.272689339
Germany,2017,1.382593966
Germany,2018,1.327613457
Germany,2019,0.920272739
Germany,2020,-0.71758186
Germany,2021,0.193479518
Germany,2022,1.380596187
Germany,2023,0.735632184
Germany,2024,0.154310926
Greece,1996,-0.490643363
Greece,1997,-0.275571962
Greece,1998,4.318489904
Greece,1999,0.217530881
Greece,2000,0.377548919
Greece,2001,0.234418576
Greece,2002,2.455050268
Greece,2003,1.131671165
Greece,2004,2.576438583
Greece,2005,0.982431966
Greece,2006,1.953078314
Greece,2007,1.344732425
Greece,2008,1.256467233
Greece,2009,-0.639556075
Greece,2010,-2.679095401
Greece,2011,-4.277120888
Greece,2012,-3.979989954
Greece,2013,-0.581783902
Greece,2014,3.559099916
Greece,2015,-2.944901702
Greece,2016,3.399387356
Greece,2017,-0.512069097
Greece,2018,4.581382697
Greece,2019,2.185042655
Greece,2020,-2.570772962
Greece,2021,5.092343201
Greece,2022,2.426833176
Greece,2023,1.212066366
Greece,2024,1.22219418
Hungary,1996,-0.180725956
Hungary,1997,1.042496398
Hungary,1998,0.909537726
Hungary,1999,1.960229221
Hungary,2000,0.658610657
Hungary,2001,0.223803225
Hungary,2002,-0.121884033
Hungary,2003,1.956607582
Hungary,2004,-0.929540892
Hungary,2005,-0.70808422
Hungary,2006,0.893684504
Hungary,2007,-0.59532885
Hungary,2008,-1.985602522
Hungary,2009,-1.853416559
Hungary,2010,-0.80593911
Hungary,2011,-0.093055839
Hungary,2012,0.937748521
Hungary,2013,1.495784628
Hungary,2014,4.437872252
Hungary,2015,2.45264224
Hungary,2016,3.312593666
Hungary,2017,1.7548248
Hungary,2018,1.911815954
Hungary,2019,0.993132766
Hungary,2020,-0.771184905
Hungary,2021,1.416374193
Hungary,2022,1.594962122
Hungary,2023,0.198682041
Hungary,2024,0.284117081
Iceland,1996,-0.147383935
Iceland,1997,2.361623616
Iceland,1998,1.51405912
Iceland,1999,2.485795455
Iceland,2000,2.841302841
Iceland,2001,1.078167116
Iceland,2002,-1.333333333
Iceland,2003,0.743243243
Iceland,2004,0.670690812
Iceland,2005,7.661558961
Iceland,2006,5.383663366
Iceland,2007,4.580152672
Iceland,2008,0.673778776
Iceland,2009,-8.198549916
Iceland,2010,-1.27582017
Iceland,2011,1.107692308
Iceland,2012,1.886792453
Iceland,2013,2.329749104
Iceland,2014,2.451838879
Iceland,2015,2.849002849
Iceland,2016,4.542936288
Iceland,2017,4.239533651
Iceland,2018,2.999491612
Iceland,2019,-0.098716683
Iceland,2020,-4.743083004
Iceland,2021,1.400414938
Iceland,2022,7.109974425
Iceland,2023,4.250238777
Ireland,1996,1.736605694
Ireland,1997,1.986714119
Ireland,1998,3.602213926
Ireland,1999,6.568711698
Ireland,2000,4.375176703
Ireland,2001,2.815850658
Ireland,2002,1.499447292
Ireland,2003,1.918608392
Ireland,2004,3.258067306
Ireland,2005,4.668927206
Ireland,2006,4.479218775
Ireland,2007,4.245367906
Ireland,2008,-0.98850582
Ireland,2009,-8.341580665
Ireland,2010,-4.490936624
Ireland,2011,-1.932230237
Ireland,2012,-0.419226515
Ireland,2013,2.943744981
Ireland,2014,2.626536936
Ireland,2015,3.505027956
Ireland,2016,3.790271175
Ireland,2017,3.121261229
Ireland,2018,3.013228943
Ireland,2019,3.143583248
Ireland,2020,-2.491531107
Ireland,2021,6.561077428
Ireland,2022,6.923301999
Ireland,2023,3.456469505
Ireland,2024,2.68839377
Israel,1996,4.251038824
Israel,1997,1.831417297
Israel,1998,2.61359297
Israel,1999,2.912468043
Israel,2000,3.636162106
Israel,2001,-0.003003465
Israel,2002,0.150228605
Israel,2003,1.03858621
Israel,2004,2.144677494
Israel,2005,3.442120232
Israel,2006,3.168042417
Israel,2007,4.39220449
Israel,2008,3.798467923
Israel,2009,1.760396634
Israel,2010,3.086763247
Israel,2011,3.415217019
Israel,2012,4.340502542
Israel,2013,2.939321729
Israel,2014,3.079455706
Israel,2015,2.178169249
Israel,2016,2.400319799
Israel,2017,2.406684403
Israel,2018,1.843573297
Israel,2019,1.46234943
Israel,2020,-2.390923651
Israel,2021,1.361377551
Israel,2022,6.293153643
Israel,2023,2.993067403
Italy,1996,0.610968829
Italy,1997,0.350870756
Italy,1998,1.043447261
Italy,1999,1.150730289
Italy,2000,1.99355159
Italy,2001,1.907233897
Italy,2002,1.810015101
Italy,2003,1.628239152
Italy,2004,0.558029681
Italy,2005,0.510273704
Italy,2006,1.983831485
Italy,2007,1.264689153
Italy,2008,0.223486388
Italy,2009,-1.676583871
Italy,2010,-0.574859014
Italy,2011,0.243958966
Italy,2012,-0.250260604
Italy,2013,-1.824125957
Italy,2014,0.005798542
Italy,2015,0.653540633
Italy,2016,1.430675796
Italy,2017,1.176021971
Italy,2018,1.015204003
Italy,2019,0.615225847
Italy,2020,-2.047023551
Italy,2021,0.963749643
Italy,2022,1.918673762
Italy,2023,1.913472979
Italy,2024,1.644821481
Japan,1996,0.099681614
Japan,1997,0.719370996
Japan,1998,-1.145133919
Japan,1999,-1.340518593
Japan,2000,-0.727784418
Japan,2001,-0.365797897
Japan,2002,-1.16720208
Japan,2003,0.052625876
Japan,2004,0.570845129
Japan,2005,0.801415167
Japan,2006,0.698905861
Japan,2007,0.794071739
Japan,2008,-0.15335348
Japan,2009,-1.151917604
Japan,2010,-0.131005697
Japan,2011,-0.314215985
Japan,2012,-0.699268599
Japan,2013,0.408339369
Japan,2014,0.408213376
Japan,2015,0.137555787
Japan,2016,0.946304832
Japan,2017,1.049321116
Japan,2018,1.756643524
Japan,2019,0.89550922
Japan,2020,-0.510092545
Japan,2021,-0.084963012
Japan,2022,0.153943144
